id,Machine failure,Probability
136429,0,0.003675247
136430,0,0.003190545
136431,0,0.002664611
136432,0,0.002404908
136433,0,0.003474775
136434,0,0.002415256
136435,0,0.010827657
136436,0,0.003661678
136437,0,0.002737267
136438,0,0.002677712
136439,0,0.002664611
136440,0,0.00281076
136441,0,0.002415256
136442,0,0.002677712
136443,0,0.002675038
136444,0,0.002946137
136445,0,0.002677712
136446,1,0.878470937
136447,0,0.002664611
136448,0,0.00275033
136449,0,0.003458971
136450,0,0.00235915
136451,0,0.003612002
136452,0,0.023254988
136453,0,0.003173646
136454,0,0.002157591
136455,0,0.002677712
136456,0,0.003488441
136457,0,0.002298953
136458,0,0.003747866
136459,0,0.010234018
136460,0,0.009407754
136461,0,0.002664611
136462,0,0.019706011
136463,0,0.017211951
136464,0,0.003961812
136465,0,0.002415256
136466,0,0.003692146
136467,0,0.00235915
136468,0,0.002536764
136469,0,0.00268151
136470,0,0.003005947
136471,0,0.003719139
136472,0,0.011466815
136473,0,0.002755947
136474,0,0.00275033
136475,0,0.002225567
136476,0,0.025117508
136477,0,0.003747866
136478,0,0.002415256
136479,0,0.002267125
136480,0,0.013218551
136481,0,0.003719139
136482,0,0.112470685
136483,0,0.002118412
136484,0,0.00235915
136485,0,0.002296409
136486,0,0.003138389
136487,0,0.002415256
136488,0,0.00765395
136489,0,0.002415256
136490,0,0.068225797
136491,0,0.007833203
136492,0,0.002415256
136493,0,0.009344689
136494,0,0.002415256
136495,0,0.004111237
136496,0,0.003644778
136497,0,0.002391892
136498,0,0.011551786
136499,0,0.00235915
136500,0,0.002724657
136501,0,0.002677712
136502,0,0.003563453
136503,0,0.003577862
136504,0,0.002694611
136505,0,0.00350534
136506,0,0.002547824
136507,0,0.002174519
136508,0,0.002415228
136509,0,0.002621416
136510,0,0.002398329
136511,0,0.003062286
136512,0,0.00217449
136513,0,0.005032108
136514,0,0.002398329
136515,0,0.002536764
136516,0,0.002547824
136517,0,0.002375652
136518,0,0.002677712
136519,0,0.002314553
136520,0,0.003573474
136521,0,0.002547824
136522,0,0.00428694
136523,0,0.002415256
136524,0,0.002415228
136525,0,0.002507684
136526,0,0.002759389
136527,0,0.002632147
136528,0,0.002377632
136529,0,0.002813706
136530,0,0.0073851
136531,0,0.002457538
136532,0,0.002376098
136533,0,0.00924999
136534,0,0.00276723
136535,0,0.002677712
136536,0,0.003508142
136537,0,0.002677712
136538,0,0.002946137
136539,0,0.002694611
136540,0,0.00254528
136541,0,0.002677712
136542,0,0.003138389
136543,0,0.002946137
136544,0,0.00243689
136545,0,0.002634648
136546,0,0.00217449
136547,0,0.004635787
136548,0,0.002664611
136549,0,0.003505244
136550,0,0.002481382
136551,0,0.002293503
136552,0,0.00276723
136553,0,0.006655931
136554,0,0.002677712
136555,0,0.013983744
136556,0,0.003463453
136557,0,0.002841929
136558,0,0.002677712
136559,0,0.002415256
136560,0,0.003487802
136561,0,0.003659093
136562,0,0.00243689
136563,0,0.002415256
136564,0,0.002415256
136565,0,0.003719139
136566,0,0.002677712
136567,0,0.00272212
136568,0,0.003549139
136569,0,0.002774605
136570,0,0.002157591
136571,0,0.005005404
136572,0,0.003644778
136573,0,0.00254528
136574,0,0.002677712
136575,0,0.002642038
136576,0,0.002655119
136577,0,0.002705001
136578,0,0.002174519
136579,0,0.02170449
136580,0,0.00243689
136581,0,0.006593855
136582,0,0.002677712
136583,0,0.00268151
136584,0,0.002398329
136585,0,0.021959865
136586,0,0.15625918
136587,0,0.002157591
136588,0,0.00254528
136589,0,0.003692146
136590,0,0.002208667
136591,0,0.008536786
136592,0,0.014449949
136593,0,0.00889981
136594,0,0.002463447
136595,0,0.002415256
136596,0,0.002694611
136597,0,0.002415256
136598,0,0.002934502
136599,0,0.002415256
136600,0,0.002677712
136601,0,0.007712148
136602,0,0.002856281
136603,0,0.006969077
136604,0,0.002135312
136605,0,0.00890758
136606,0,0.002677712
136607,0,0.00796347
136608,0,0.014334355
136609,0,0.002450346
136610,0,0.00272212
136611,0,0.002463447
136612,0,0.002250225
136613,0,0.002490963
136614,0,0.00268151
136615,0,0.002677712
136616,0,0.002481079
136617,0,0.002664611
136618,0,0.002415228
136619,0,0.002474438
136620,0,0.00235915
136621,0,0.002293503
136622,0,0.002975984
136623,0,0.002415228
136624,0,0.006977758
136625,0,0.002585931
136626,0,0.002552965
136627,0,0.019273633
136628,0,0.002815252
136629,0,0.002911024
136630,0,0.00243689
136631,0,0.003081343
136632,0,0.002642038
136633,0,0.004270012
136634,0,0.003474775
136635,0,0.003540012
136636,0,0.003852073
136637,0,0.002759389
136638,1,0.860506656
136639,0,0.017196024
136640,0,0.021933338
136641,0,0.002225567
136642,0,0.002415256
136643,0,0.020733562
136644,0,0.002694611
136645,0,0.00275033
136646,0,0.002496533
136647,0,0.002490963
136648,0,0.022210884
136649,0,0.002415256
136650,0,0.002949936
136651,0,0.002415256
136652,1,0.961503835
136653,0,0.003692146
136654,0,0.002432156
136655,0,0.002973427
136656,0,0.002664611
136657,0,0.002813706
136658,0,0.002564723
136659,0,0.002490963
136660,0,0.003692146
136661,0,0.003173646
136662,0,0.007901093
136663,0,0.003692146
136664,0,0.011690018
136665,0,0.00277448
136666,0,0.002174519
136667,0,0.036093622
136668,0,0.003675247
136669,0,0.003682024
136670,0,0.002677712
136671,0,0.00256218
136672,0,0.002376049
136673,0,0.008406214
136674,0,0.002480347
136675,0,0.003669116
136676,0,0.01282986
136677,0,0.004219926
136678,0,0.00243689
136679,0,0.002736424
136680,0,0.002684523
136681,0,0.002677712
136682,0,0.002398329
136683,0,0.002677712
136684,0,0.012240956
136685,0,0.008272638
136686,0,0.002677712
136687,0,0.002507684
136688,0,0.00249831
136689,0,0.002945443
136690,0,0.011193963
136691,0,0.025516463
136692,0,0.00466581
136693,0,0.002623621
136694,0,0.002457538
136695,0,0.002664611
136696,0,0.002664611
136697,0,0.002135312
136698,0,0.004379575
136699,0,0.002507863
136700,0,0.007556619
136701,0,0.002345193
136702,0,0.002677712
136703,0,0.005582314
136704,0,0.002415228
136705,0,0.002754129
136706,0,0.002677712
136707,0,0.003292282
136708,0,0.002854356
136709,0,0.006825427
136710,0,0.002398329
136711,0,0.002398329
136712,0,0.002432156
136713,0,0.005381344
136714,0,0.003582039
136715,0,0.002711672
136716,0,0.005214564
136717,0,0.016338461
136718,0,0.023109993
136719,0,0.006748565
136720,0,0.002297625
136721,0,0.002375652
136722,0,0.002398329
136723,0,0.009451433
136724,0,0.002415256
136725,0,0.002664611
136726,0,0.002694611
136727,0,0.009046577
136728,0,0.00268151
136729,0,0.002490963
136730,0,0.002647749
136731,0,0.007799376
136732,0,0.003241348
136733,0,0.002415256
136734,0,0.003138389
136735,0,0.002634648
136736,0,0.003961812
136737,0,0.003173646
136738,0,0.002157591
136739,0,0.010006755
136740,0,0.002845351
136741,0,0.019160055
136742,0,0.003661678
136743,0,0.002415256
136744,0,0.002694611
136745,0,0.003549139
136746,0,0.00268151
136747,0,0.002432156
136748,0,0.002432156
136749,0,0.002398329
136750,0,0.002267153
136751,0,0.002664611
136752,0,0.003652216
136753,0,0.00272212
136754,0,0.003514577
136755,0,0.004201031
136756,0,0.005005404
136757,0,0.002911305
136758,0,0.002677712
136759,0,0.002634648
136760,0,0.002533742
136761,0,0.002553664
136762,0,0.002900572
136763,0,0.002664611
136764,0,0.003675247
136765,0,0.002531777
136766,0,0.002415256
136767,0,0.003333891
136768,0,0.002389199
136769,0,0.003143683
136770,0,0.003675247
136771,0,0.003747866
136772,0,0.040324416
136773,0,0.003549139
136774,0,0.00243689
136775,0,0.006801898
136776,0,0.002677712
136777,0,0.002677712
136778,0,0.003173646
136779,0,0.002971288
136780,0,0.009059364
136781,0,0.00406657
136782,0,0.002647749
136783,0,0.002191418
136784,0,0.002450346
136785,0,0.0036849
136786,0,0.002757552
136787,0,0.002705316
136788,0,0.002680148
136789,0,0.002398329
136790,0,0.00243689
136791,0,0.002398329
136792,0,0.003505244
136793,0,0.00235915
136794,0,0.009641146
136795,0,0.00277448
136796,0,0.003692146
136797,0,0.002664611
136798,0,0.012387097
136799,0,0.002677712
136800,0,0.003413935
136801,0,0.002677712
136802,0,0.003413935
136803,0,0.002536764
136804,0,0.002677712
136805,0,0.002963037
136806,0,0.002415228
136807,0,0.002981843
136808,0,0.002677712
136809,0,0.002398329
136810,0,0.003644778
136811,0,0.00249831
136812,0,0.002157591
136813,0,0.007768423
136814,0,0.003675247
136815,0,0.002432156
136816,0,0.006982074
136817,0,0.00254528
136818,0,0.002755947
136819,0,0.003491674
136820,0,0.002157591
136821,0,0.002649046
136822,0,0.002946137
136823,0,0.002376049
136824,0,0.002415228
136825,0,0.003652216
136826,1,0.992439024
136827,0,0.002694611
136828,0,0.002463447
136829,0,0.002731873
136830,0,0.003644778
136831,0,0.002376049
136832,0,0.002816762
136833,0,0.00350534
136834,1,0.973737374
136835,0,0.006639003
136836,0,0.00254528
136837,0,0.00265159
136838,0,0.002479634
136839,0,0.002516814
136840,0,0.005005404
136841,0,0.002676799
136842,0,0.00254528
136843,0,0.002677712
136844,0,0.002664611
136845,0,0.002267125
136846,0,0.014178351
136847,0,0.00217449
136848,0,0.002191418
136849,0,0.002677712
136850,0,0.002664611
136851,0,0.002415228
136852,0,0.002474438
136853,0,0.003661678
136854,0,0.007889771
136855,0,0.002664611
136856,0,0.014924613
136857,0,0.003675247
136858,0,0.002157591
136859,0,0.003132841
136860,0,0.002415228
136861,0,0.002157591
136862,0,0.00278621
136863,0,0.002306933
136864,0,0.002415256
136865,0,0.002572633
136866,0,0.00254528
136867,0,0.003138389
136868,0,0.002664611
136869,0,0.002398329
136870,0,0.002118412
136871,0,0.002677712
136872,0,0.002632147
136873,0,0.002677712
136874,0,0.002415228
136875,0,0.002118412
136876,0,0.002118412
136877,0,0.008369834
136878,0,0.002760113
136879,0,0.002664611
136880,0,0.005214564
136881,0,0.006876152
136882,0,0.002677712
136883,0,0.002398329
136884,0,0.002664611
136885,0,0.038248168
136886,0,0.002499077
136887,0,0.002398329
136888,0,0.002753859
136889,0,0.002536764
136890,0,0.019875726
136891,0,0.00254528
136892,0,0.002398329
136893,0,0.003413935
136894,0,0.002415256
136895,0,0.009420511
136896,0,0.002432156
136897,0,0.003675247
136898,0,0.00268151
136899,0,0.002157591
136900,0,0.002415256
136901,0,0.002398329
136902,0,0.002717831
136903,0,0.002296409
136904,0,0.002664611
136905,0,0.00243689
136906,0,0.002481079
136907,0,0.002694611
136908,0,0.002677712
136909,0,0.002157591
136910,0,0.002814559
136911,0,0.00275033
136912,0,0.019462758
136913,0,0.006720981
136914,0,0.00235915
136915,0,0.00268151
136916,0,0.002432978
136917,0,0.002490963
136918,0,0.002463447
136919,0,0.00252479
136920,0,0.002398329
136921,0,0.002933037
136922,0,0.002415256
136923,0,0.0024013
136924,0,0.002298953
136925,0,0.002191418
136926,0,0.002357115
136927,0,0.002664611
136928,0,0.002677712
136929,0,0.013403117
136930,0,0.004119485
136931,0,0.002933037
136932,0,0.003747866
136933,0,0.002793861
136934,0,0.003100168
136935,0,0.002191418
136936,0,0.002546824
136937,0,0.002157591
136938,0,0.002398329
136939,0,0.00235915
136940,0,0.014494537
136941,0,0.019781978
136942,0,0.002297625
136943,0,0.002934502
136944,0,0.010816225
136945,0,0.002739047
136946,0,0.00246418
136947,0,0.002677712
136948,0,0.004097723
136949,0,0.002963037
136950,0,0.002705001
136951,0,0.00351917
136952,0,0.00268151
136953,0,0.004291352
136954,0,0.002174519
136955,0,0.002267125
136956,0,0.002415228
136957,0,0.002450346
136958,0,0.002415256
136959,0,0.003644778
136960,1,0.963483042
136961,0,0.002267153
136962,0,0.003486553
136963,0,0.022249356
136964,0,0.002833149
136965,0,0.002946137
136966,0,0.003827086
136967,0,0.002463447
136968,0,0.012377542
136969,0,0.002157591
136970,0,0.002921402
